id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season
creativity_001,Охота за цветом,Сортировка предметов по цвету,"Игра на развитие цветовосприятия и классификации. Ребенок становится настоящим охотником за цветами, исследуя дом в поисках предметов определенных цветов. Эта активность развивает внимание к деталям, умение сортировать и группировать объекты по признакам.","Нарисуйте на большом листе 6-8 ярких кругов разных цветов | Дайте ребенку корзинку или мешочек для сбора | Объясните задание: найти предметы каждого цвета | Помогайте называть цвета и предметы | Считайте вместе, сколько предметов каждого цвета найдено | Обязательно хвалите за каждую находку","Большой лист бумаги,цветные карандаши или фломастеры,корзинка для сбора,мелкие предметы разных цветов по дому",15,easy,3-5,creativity,"распознавание цветов,классификация,наблюдательность,счет,словарный запас",indoor,"цвет,сортировка,поиск,развивающая игра",false,any
creativity_002,Архитектор башен,Строительство высокой башни,"Инженерная игра на развитие пространственного мышления. Ребенок экспериментирует с балансом, устойчивостью и архитектурными принципами, строя башни из подручных материалов. Развивает понимание физических законов через игру.","Дайте ребенку коллекцию стаканчиков и втулок | Покажите, как ставить один на другой | Предложите построить самую высокую башню | Экспериментируйте: что будет, если поставить большой стакан на маленький? | Попробуйте строить пирамиду | Устройте соревнование: чья башня выше | При падении башни обсудите, почему это произошло","Пластиковые стаканчики разных размеров,втулки от туалетной бумаги,небольшие коробочки,картонные цилиндры",20,medium,3-5,creativity,"пространственное мышление,понимание баланса,мелкая моторика,причинно-следственные связи,настойчивость",indoor,"строительство,физика,эксперимент,конструирование",false,any
creativity_003,Спасательная экспедиция,Поиск игрушек в крупе,"Тактильная игра-приключение, развивающая мелкую моторику и терпение. Ребенок становится спасателем, который должен найти и освободить игрушки из 'песчаной бури' или 'снежного заноса'. Отличная сенсорная активность.","Наполните широкий контейнер рисом, гречкой или манкой | Спрячьте в крупе 5-7 мелких игрушек | Расскажите историю: игрушки попали в снежный занос/песчаную бурю | Дайте ребенку ложку или совочек для 'раскопок' | Можно искать и руками, развивая тактильные ощущения | Считайте найденные игрушки | Придумайте имена спасенным игрушкам","Широкий контейнер или поднос,крупа (рис/гречка/манка),мелкие игрушки (киндер-сюрпризы,маленькие машинки),ложка или совочек,салфетки для уборки",15,easy,3-5,creativity,"мелкая моторика,тактильные ощущения,терпение,концентрация внимания,сенсорное развитие",indoor,"сенсорика,поиск,спасение,тактильные игры",false,any
creativity_004,Бусы для великана,Нанизывание макарон на шнурок,"Развитие мелкой моторики через создание украшений. Ребенок создает необычные бусы, тренируя координацию движений и усидчивость. Можно придумать историю про великана, который потерял свои волшебные бусы.","Подготовьте шнурок с твердым кончиком (можно обмотать скотчем) | Покажите ребенку, как нанизывать макароны | Предложите сделать бусы для великана, мамы или куклы | Чередуйте макароны разной формы, если есть | Завяжите концы, когда бусы будут готовы | Устройте показ мод с готовыми украшениями | Можно раскрасить макароны заранее","Толстый шнурок или ленточка,макароны-трубочки разной формы,скотч для укрепления кончика шнурка,краски (по желанию)",15,easy,3-5,creativity,"мелкая моторика,зрительно-моторная координация,последовательность действий,эстетическое восприятие,терпение",indoor,"рукоделие,украшения,моторика,творчество",false,any
creativity_005,Кормление монстрика,Игра с коробкой и предметами,"Веселая игра на развитие точности движений. Ребенок создает дружелюбного монстрика и 'кормит' его разными предметами. Развивает меткость, концентрацию и воображение, превращая простую коробку в живого персонажа.","Возьмите картонную коробку и вырежьте большое отверстие-рот | Нарисуйте или приклейте глаза, сделайте монстрика добрым | Придумайте имя монстрику и его любимую еду | Дайте ребенку помпоны, крупные пуговицы, мячики | Показывайте, как 'кормить' монстрика, бросая предметы в рот | Считайте, сколько еды съел монстрик | Изменяйте расстояние для разной сложности","Картонная коробка среднего размера,ножницы,фломастеры,цветная бумага для глаз,помпоны или крупные пуговицы,маленькие мячики,клей",20,easy,3-5,creativity,"точность движений,зрительно-моторная координация,воображение,эмпатия,счет",indoor,"меткость,воображение,игра,моторика",false,any
creativity_006,Театр из носков,Кукольное представление из носков,"Развитие речи и воображения через кукольный театр. Простые носки превращаются в ярких персонажей, а ребенок становится режиссером и актером своего спектакля. Отличная активность для развития коммуникативных навыков.","Возьмите несколько чистых носков разных цветов | Нарисуйте на носках глаза, нос, рот фломастерами | Можно пришить пуговицы-глазки или приклеить | Наденьте носки на руки | Придумайте простую историю или сказку | Разыгрывайте диалоги между персонажами | Пригласите зрителей из игрушек или членов семьи | Сделайте поклон в конце представления","Старые носки разных цветов,фломастеры или маркеры,пуговицы для глаз,нитки и иголка (для взрослых),клей,маленькие кусочки ткани",30,medium,3-5,creativity,"развитие речи,воображение,эмоциональное выражение,социальные навыки,театральные способности",indoor,"театр,ролевая игра,речевое развитие,творчество",false,any
creativity_007,Город из коробок,Постройка города из коробок,"Масштабная строительная игра для развития пространственного мышления и планирования. Ребенок создает целый город, продумывая его инфраструктуру и населяя его жителями. Развивает понимание городской среды и социальных ролей.","Соберите коробки разных размеров | Обсудите, что есть в городе: дома, магазины, больница, школа | Помогите ребенку решить, какая коробка станет чем | Вырежьте окна и двери в коробках | Расставьте коробки, создавая улицы между ними | Заселите город игрушками-жителями | Придумайте названия улиц и зданий | Играйте в городскую жизнь: водите машинки по дорогам","Картонные коробки разных размеров,ножницы,фломастеры,маленькие игрушки-люди и машинки,скотч,цветная бумага",40,medium,3-5,creativity,"пространственное планирование,социальное понимание,сюжетно-ролевая игра,архитектурное мышление",indoor,"город,планирование,ролевая игра,архитектура",false,any
creativity_008,Рисование на подносе,Пальчиковое рисование по манке или соли,"Уникальная техника рисования, развивающая тактильную чувствительность. Ребенок рисует пальцами на рассыпанной крупе, создавая временные, но прекрасные произведения. Успокаивающая и медитативная активность.","Насыпьте тонкий слой манки или мелкой соли на темный поднос | Покажите ребенку, как рисовать пальцем | Начните с простых линий и фигур | Нарисуйте солнышко, домик, цветок | Позвольте ребенку экспериментировать | Можно рисовать палочкой или кистью | Встряхивайте поднос, чтобы 'стереть' рисунок и начать заново | Фотографируйте красивые творения","Темный поднос или противень,манка или мелкая соль,деревянная палочка или кисть,камера для фото",15,easy,3-5,creativity,"тактильное восприятие,мелкая моторика,воображение,концентрация,эмоциональная саморегуляция",indoor,"сенсорное рисование,релаксация,творчество,медитация",false,any
creativity_009,Создание комикса,Придумай и нарисуй свою собственную историю в картинках,"Литературно-художественное творчество для школьников. Ребенок учится совмещать изображение и текст, создавая увлекательные истории. Развивает навыки повествования, планирования сюжета и художественного изображения.","Обсудите с ребенком любимых героев и их приключения | Помогите придумать главного персонажа комикса | Разбейте лист на 6-8 прямоугольников-кадров | Покажите, как рисовать облачка для диалогов | Начните с простой истории: герой идет куда-то и что-то находит | Каждый кадр - новое действие в истории | Добавьте диалоги и мысли персонажей | Раскрасьте готовый комикс | Придумайте название и нарисуйте обложку","Бумага формата А4 или больше,простые карандаши,фломастеры,ластик,линейка,цветные карандаши",90,medium,9-12,creativity,"повествовательные навыки,планирование сюжета,художественное изображение,развитие речи,логическое мышление",indoor,"комикс,история,рисование,литература",false,any
creativity_010,Оригами,Искусство складывания бумаги,"Изучение древнего японского искусства развивает точность, терпение и пространственное мышление. Ребенок учится превращать простой лист бумаги в объемные фигуры без использования клея и ножниц.","Начните с простых фигур: лодочка, самолетик, тюльпан | Используйте квадратные листы цветной бумаги | Показывайте каждый шаг медленно | Следите за точностью сгибов - это важно | Разгладьте каждый сгиб пальцем или линейкой | Если что-то не получается, разверните и попробуйте снова | Создайте коллекцию фигурок | Подарите готовые работы родственникам","Цветная бумага для оригами или обычная цветная бумага,ножницы для нарезки квадратов,инструкции со схемами,линейка для проглаживания сгибов",45,medium,9-12,creativity,"мелкая моторика,пространственное мышление,следование инструкциям,терпение,культурная осведомленность",indoor,"оригами,япония,точность,традиции",false,any
creativity_011,Рисование карты,Создание карты вымышленного мира,"Географическо-творческая активность, развивающая понимание пространства и планирования. Ребенок создает детальную карту собственного мира, продумывая географию, населенные пункты и транспортные пути.","Дайте ребенку большой лист бумаги | Начните с контуров материков или островов | Добавьте горы (треугольники), реки (волнистые линии), леса (кружочки) | Нарисуйте города и деревни разными символами | Проложите дороги между населенными пунктами | Придумайте названия для всех мест | Создайте легенду карты с объяснением символов | Добавьте компас для указания сторон света | Раскрасьте карту цветными карандашами","Большой лист бумаги (А3 или ватман),цветные карандаши,фломастеры,линейка,простой карандаш,ластик",60,medium,9-12,creativity,"пространственное мышление,планирование,воображение,понимание географии,систематизация",indoor,"география,планирование,фантазия,карты",false,any
creativity_012,Театр теней,Представление с тенями на стене,"Создание волшебного театра теней развивает театральные навыки и понимание света. Ребенок учится создавать силуэты и управлять ими, рассказывая истории через игру света и тени.","Установите яркую лампу в 2 метрах от белой стены | Вырежьте фигурки персонажей из картона | Приклейте к фигуркам тонкие палочки-держатели | Потренируйтесь управлять тенями | Придумайте простую историю с 2-3 персонажами | Разыграйте сценку, двигая фигурки между лампой и стеной | Меняйте расстояние для больших и маленьких теней | Пригласите семью на премьеру спектакля","Настольная лампа,белая простыня или стена,плотный картон,ножницы,тонкие деревянные палочки,скотч или клей,карандаш для эскизов",60,medium,9-12,creativity,"театральные навыки,координация движений,понимание света и тени,повествовательные способности",indoor,"театр,свет,тени,представление",false,any
creativity_013,Создание флипбука,Анимация в книжке,"Создание простой анимации учит понимать принципы движения и последовательности. Ребенок создает собственный мультфильм в формате флипбука - книжки с рисунками, которые оживают при перелистывании.","Возьмите стопку из 20-30 небольших листочков | Скрепите их с одной стороны | На последней странице нарисуйте первый кадр анимации | На каждой следующей странице немного измените положение объекта | Например: мячик падает, цветок растет, человечек машет рукой | Следите за плавностью изменений | Быстро пролистывайте готовую книжку большим пальцем | Экспериментируйте с разными движениями","Маленькие листы бумаги (8x6 см),простой карандаш,скрепки или зажимы,ластик,цветные карандаши",60,medium,9-12,creativity,"понимание движения,последовательность,терпение,наблюдательность,художественные навыки",indoor,"анимация,движение,последовательность,мультипликация",false,any
creativity_014,Ведение дневника,Разберись в своих мыслях и чувствах,"Практика рефлексивного письма помогает подросткам развивать эмоциональный интеллект. Ведение дневника учит анализировать свои переживания, ставить цели и отслеживать личностный рост.","Выберите красивый блокнот, который хочется брать в руки | Установите время для записей: утром или перед сном | Начинайте с простого: как прошел день, что чувствовали | Записывайте не только события, но и эмоции | Задавайте себе вопросы: почему это произошло? что я узнал? | Добавляйте рисунки, вклеивайте билеты, фото | Перечитывайте старые записи через месяц - увидите изменения | Никому не показывайте дневник без своего желания","Красивый блокнот или тетрадь,удобная ручка,цветные карандаши,клей-карандаш,календарь",25,easy,13-17,creativity,"эмоциональный интеллект,рефлексия,письменная речь,самоанализ,планирование",indoor,"дневник,эмоции,саморазвитие,письмо",false,any
creativity_015,Скетчинг,Быстрые зарисовки окружающего мира,"Развитие художественного восприятия через быстрое рисование. Скетчинг учит замечать детали окружающего мира, развивает наблюдательность и уверенность в рисовании.","Возьмите небольшой блокнот и карандаш на прогулку | Выберите интересный объект: дерево, здание, человека | Дайте себе 5-10 минут на зарисовку | Не стремитесь к фотографической точности | Сосредоточьтесь на основных формах и пропорциях | Добавьте тени и детали | Подпишите дату и место | Рисуйте каждый день разные объекты | Сравнивайте новые работы со старыми","Скетчбук или блокнот,карандаши разной мягкости (2H, HB, 2B),ластик,растушевка,точилка",30,easy,13-17,creativity,"наблюдательность,художественные навыки,уверенность в рисовании,терпение,внимание к деталям",any,"рисование,наблюдение,искусство,практика",false,any
creativity_016,Написание рассказа,Создание собственной истории,"Развитие литературных способностей через создание оригинальных произведений. Подросток учится структурировать повествование, создавать персонажей и увлекательные сюжеты.","Начните с идеи: что если? а что, если собака умела говорить? | Создайте главного героя: опишите его внешность, характер, мечты | Придумайте проблему или конфликт, который нужно решить | Определите место действия: опишите его детально | Набросайте план: завязка, развитие, кульминация, развязка | Пишите диалоги - они оживляют историю | Показывайте эмоции героев через действия | Придумайте неожиданный поворот или финал","Тетрадь или компьютер,ручка,черновики для заметок,словарь синонимов,таймер для письменных сессий",90,medium,13-17,creativity,"литературное творчество,воображение,структурирование,языковые навыки,планирование",indoor,"писательство,литература,творчество,язык",false,any
creativity_017,Фотопрогулка,Изучение мира через объектив,"Развитие художественного взгляда через фотографию. Подросток учится видеть красоту в обычных вещах, понимать композицию и работать со светом.","Выберите тему фотосессии: архитектура, природа, люди, детали | Изучите основы композиции: правило третей, ведущие линии | Обращайте внимание на освещение: как падает свет и тень | Экспериментируйте с ракурсами: снимайте сверху, снизу, сбоку | Делайте много кадров одного объекта с разных точек | Ищите необычные детали в обычных местах | Отберите лучшие фотографии | Создайте альбом или коллаж из снимков","Фотоаппарат или смартфон с хорошей камерой,заряженная батарея,карта памяти,блокнот для идей",60,easy,13-17,creativity,"художественное восприятие,композиция,работа со светом,наблюдательность,техническая грамотность",outdoor,"фотография,искусство,композиция,наблюдение",false,any
creativity_018,Создание коллажа,Композиция из разных материалов,"Художественная техника, развивающая чувство композиции и работу с различными материалами. Создание коллажа учит сочетать цвета, текстуры и формы в единое произведение.","Выберите тему: мечты, путешествия, любимые вещи, будущая профессия | Соберите материалы: журналы, фотографии, ткань, листья | Вырежьте интересные изображения и текстуры | Поэкспериментируйте с расположением на бумаге перед приклеиванием | Наслаивайте элементы для создания глубины | Добавьте рисованные детали маркерами | Играйте с контрастами и цветовыми сочетаниями | Покройте готовый коллаж прозрачной пленкой","Плотная основа (картон или ватман),старые журналы,личные фотографии,клей-карандаш,ножницы,цветные маркеры,природные материалы,ткани",50,easy,13-17,creativity,"композиция,цветовосприятие,работа с материалами,художественный вкус,планирование",indoor,"коллаж,композиция,материалы,искусство",false,any
creativity_019,Практика каллиграфии,Искусство красивого письма,"Изучение каллиграфии развивает терпение, концентрацию и эстетическое восприятие. Красивое письмо - это медитативная практика, которая успокаивает и развивает мелкую моторику.","Изучите базовые принципы: правильная осанка, положение ручки | Начните с простых упражнений: палочки, крючки, овалы | Тренируйте отдельные буквы, соблюдая пропорции | Изучите разные стили: печатный, курсив, готический | Копируйте красивые образцы из учебников | Напишите любимую цитату красивым почерком | Украсьте текст декоративными элементами | Создайте открытку с каллиграфическим поздравлением","Специальные каллиграфические ручки,качественная бумага с разметкой,образцы шрифтов,линейка,простой карандаш,ластик",60,medium,18+,creativity,"мелкая моторика,концентрация,эстетическое восприятие,терпение,внимание к деталям",indoor,"каллиграфия,красота,концентрация,традиция",false,any
